simulation_ts,equity
0,100000
1767657608008000000,99999.95
1767657726008000000,100059.4
1767657857908000000,100069.15
1767657979308000000,100008.8
1767658106708000000,100008.75
1767658231008000000,100013.2
1767658350808000000,100013.15
1767658467808000000,99971.7
1767658593308000000,99971.65
1767658716008000000,99974.7
1767658857708000000,100050.45
1767658988508000000,99942.7
1767659114406000000,99843.05
1767659239806000000,99983.9
1767659365306000000,100274.25
1767659491506000000,99869.7
1767659625406000000,99609.25
1767659753806000000,99518
1767659886506000000,99222.15
1767660013006000000,99208.1
1767660144906000000,99175.65
1767660273506000000,99486.7
1767660405306000000,99182.15
1767660545806000000,99399.9
1767660671006000000,99586.05
1767660826506000000,99587.8
1767660963306000000,99587.75
1767661169006000000,99633.2
1767661288006000000,99852.35
1767661414106000000,99826
1767661548306000000,99825.95
1767661679406000000,99820.1
1767661803826000000,99867.25
1767661932726000000,99990.5
1767662092606000000,100040.45
1767662225206000000,99927.3
1767662351806000000,100049.45
1767662481006000000,100264.2
1767662609306000000,100079.25
1767662744604000000,100075.2
1767662871804000000,100034.35
1767663000704000000,100499.9
1767663128204000000,100439.75
1767663254704000000,100245.9
1767663379604000000,100250.45
1767663513004000000,100209.1
1767663653904000000,100198.85
1767663781104000000,100263.9
1767663909804000000,100347.25
1767664043904000000,100235.9
1767664187404000000,100234.95
1767664315104000000,100307.3
1767664441804000000,100307.25
1767664565404000000,100330.3
1767664742704000000,100298.45
1767664868614000000,100200
1767665007104000000,100133.05
1767665146104000000,100181.3
1767665276604000000,100305.45
1767665406904000000,100325.9
1767665533904000000,100325.85
1767665698404000000,100327
1767665831604000000,100326.95
1767665974704000000,100273.1
1767666106404000000,100273.05
1767666243708000000,100250.4
1767666372708000000,100250.15
1767666500838000000,100304.1
1767666650708000000,100172.05
1767666778428000000,99998.9
1767666901718000000,99935.65
1767667041808000000,99959.6
1767667172508000000,99678.05
1767667306908000000,99746.4
1767667434608000000,99863.55
1767667568808000000,99817.6
1767667699328000000,99764.75
1767667832308000000,99668.7
1767667962708000000,99535.25
1767668100308000000,99568.9
1767668225508000000,99896.45
1767668374608000000,100024
1767668503708000000,99918.95
1767668632208000000,100105.7
1767668773508000000,100523.25
1767668900308000000,100424.5
1767669027208000000,100694.85
1767669161208000000,100556.2
1767669301808000000,100792.55
1767669425208000000,101103
1767669555808000000,100888.65
1767669686508000000,101062.2
1767669848507000000,100723.75
1767669976607000000,100660.2
1767670129907000000,100996.75
1767670252307000000,100968.3
1767670379407000000,101388.65
1767670515307000000,101292.6
1767670648507000000,101445.35
1767670783207000000,101272.8
1767670912407000000,101087.15
1767671049707000000,100900.5
1767671221407000000,100959.85
1767671343407000000,100799.9
1767671493707000000,100779.25
1767671669207000000,100821.5
1767671818807000000,100884.45
1767672005607000000,100753.9
1767672150807000000,100919.45
1767672280907000000,100841.4
1767672431807000000,101038.15
1767672559327000000,101572.6
1767672687207000000,101869.55
1767672833507000000,101510.4
1767672962907000000,102087.95
1767673094807000000,101536.2
1767673291407000000,101589.35
1767673443109000000,101437.4
1767673578509000000,100977.75
1767673709909000000,101077.2
1767673854809000000,101046.15
1767674010209000000,100916.6
1767674167609000000,101126.95
1767674300509000000,101222.9
1767674437409000000,100935.25
1767674584009000000,100964.5
1767674722209000000,100859.25
1767674880409000000,100861.9
1767675184009000000,100815.35
1767675349709000000,100882.8
1767675479209000000,100961.95
1767675600009000000,100700.4
1767675763909000000,100629.35
1767675916909000000,100498.2
1767676042209000000,100399.55
1767676193609000000,100387.4
1767676326009000000,100387.35
1767676508009000000,100407
1767676643209000000,100392.65
1767676770809000000,100398.6
1767676900109000000,100398.55
1767677036501000000,100402.5
1767677161801000000,100194.05
1767677286601000000,100235.2
1767677413501000000,100241.75
1767677538821000000,100355.7
1767677693701000000,100194.25
1767677823501000000,100178.5
1767677967601000000,100120.35
1767678108001000000,100055.5
1767678276301000000,100128.45
1767678420901000000,100037.2
1767678558801000000,100130.75
1767678693011000000,100178.2
1767678830201000000,100102.15
1767678963401000000,99841.6
1767679115401000000,99915.95
1767679257001000000,100108.9
1767679403401000000,100141.05
1767679538336000000,100138
1767679677606000000,100110.95
1767679818504000000,100199.9
1767679964109000000,101060.55
1767680100409000000,100882
1767680233709000000,100730.15
1767680372307000000,100465.5
1767680545306000000,100402.55
1767680696609000000,100492.8
1767680823609000000,100492.75
1767680947103000000,100748.7
1767681067403000000,101160.25
1767681192003000000,101568.3
1767681327603000000,101292.25
1767681456403000000,101182.4
1767681591903000000,101652.75
1767681722103000000,101511.1
1767681846103000000,101670.05
1767681977743000000,101556
1767682112203000000,101529.55
1767682261503000000,101512.4
1767682411103000000,101444.95
1767682543803000000,101440.4
1767682677103000000,101440.35
1767682829203000000,101465.3
1767682952513000000,101465.25
1767683149104000000,101502.3
1767683281004000000,101502.25
1767683433604000000,101484.4
1767683596804000000,101484.35
1767683732614000000,101457.8
1767683933704000000,101441.75
1767684091904000000,101456.2
1767684225104000000,101456.15
1767684356804000000,101408.8
1767684491304000000,101434.35
1767684630404000000,101438.8
1767684762604000000,101653.55
1767684890904000000,101435
1767685034204000000,101391.95
1767685181104000000,101741.9
1767685320704000000,101820.85
1767685464404000000,102158.2
1767685599804000000,102303.35
1767685733204000000,102235.3
1767685878704000000,102694.45
1767686011004000000,101972
1767686146404000000,101757.55
1767686343504000000,102135.5
1767686487804000000,102194.85
1767686621604000000,101017.8
1767686768603000000,100906.75
1767686906903000000,100445.9
1767687058403000000,100632.25
1767687210603000000,100633.1
1767687361303000000,100816.25
1767687494803000000,100603.1
1767687644103000000,100791.85
1767687780503000000,101222.9
1767687912703000000,100878.85
1767688043103000000,101557.1
1767688173503000000,101244.25
1767688302903000000,101748.9
1767688497403000000,101178.85
1767688652803000000,101456
1767688783503000000,101555.15
1767688927103000000,101611.1
1767689071403000000,101573.95
1767689224003000000,101993
1767689354403000000,102098.55
1767689553003000000,101832.3
1767689693503000000,101138.25
1767689839903000000,101517.1
1767690000603000000,101570.05
1767690132903000000,101395.4
1767690263903000000,100468.15
1767690394301000000,99649.1
1767690522801000000,100192.05
1767690652501000000,100648.4
1767690798701000000,100117.15
1767690941801000000,100074.4
1767691066701000000,99777.55
1767691197501000000,99442.2
1767691352601000000,99346.75
1767691513901000000,99453.1
1767691670701000000,99642.65
1767691824901000000,99632.8
1767691974101000000,99853.45
1767692106901000000,100024.9
1767692259201000000,100028.45
1767692417101000000,100146.1
1767692554901000000,99803.75
1767692710501000000,99846.4
1767692909501000000,99857.55
1767693073801000000,99581.9
1767693206501000000,99542.85
1767693349601000000,99366.3
1767693489501000000,99567.45
1767693636601000000,99566.8
1767693771901000000,99647.95
1767693963003000000,99603.5
1767694140703000000,99599.45
1767694265723000000,99667.3
1767694439703000000,99740.45
1767694582803000000,99885
1767694709003000000,99943.75
1767694836403000000,99216.6
1767694966303000000,99341.75
1767695104803000000,99654.6
1767695245003000000,99662.95
1767695385003000000,99579.6
1767695523903000000,99409.55
1767695702903000000,99545.5
1767695852203000000,99545.05
1767695988303000000,99503
1767696152003000000,99534.25
1767696331303000000,99504.5
1767696470403000000,99491.75
1767696602603000000,99426.7
1767696731203000000,99226.25
1767696867603000000,99243
1767696998303000000,98870.15
1767697155703000000,99413.3
1767697308203000000,99406.85
1767697440703000000,100273
1767697566009000000,100368.95
1767697699509000000,100319.4
1767697841709000000,101028.55
1767697968919000000,101388.2
1767698108909000000,101626.95
1767698238339000000,100735.1
1767698407709000000,100852.65
1767698537309000000,100540.2
1767698683109000000,101105.15
1767698812709000000,101285.1
1767698961209000000,101598.65
1767699089809000000,101378.1
1767699229909000000,101261.25
1767699405909000000,101261.2
1767699561309000000,101393.75
1767699851809000000,101343.3
1767699993209000000,101710.45
1767700136809000000,101872.2
1767700284709000000,102132.95
1767700427609000000,101757
1767700561609000000,101408.75
1767700752109000000,101680.5
1767700888309000000,101987.25
1767701016609000000,101993.5
1767701146503000000,101569.45
1767701281803000000,102829.4
1767701407603000000,102567.75
1767701537003000000,102489.3
1767701666503000000,102390.85
1767701799803000000,102279.8
1767701962003000000,102654.75
1767702091103000000,102336.2
1767702226603000000,102388.95
1767702369603000000,102149.9
1767702499403000000,102281.45
1767702644303000000,102120
1767702800203000000,102091.95
1767702929603000000,102092.3
1767703146403000000,102092.25
1767703273403000000,102084.2
1767703412903000000,102081.45
1767703584203000000,102107.1
1767703806603000000,102107.05
1767703938003000000,102096
1767704178303000000,102095.95
1767704305503000000,102162.2
1767704432503000000,101979.95
1767704559603000000,101968.9
1767704684503000000,101968.85
1767704818906000000,101944.9
1767704947206000000,101944.85
1767705075506000000,101923.2
1767705217706000000,101970.85
1767705343706000000,101941.4
1767705472406000000,101801.75
1767705601306000000,101860.2
1767705731506000000,101989.75
1767705864506000000,102010
1767705994406000000,101901.35
1767706127306000000,101790.9
1767706256306000000,101683.05
1767706381506000000,101738.4
1767706507516000000,101738.35
1767706656806000000,101750.4
1767706797906000000,101750.35
1767706929206000000,101776.8
1767707102406000000,101776.75
1767707231706000000,101800.7
1767707377806000000,101796.45
1767707508206000000,101828
1767707637306000000,101810.95
1767707767506000000,101676.2
1767707896606000000,101596.75
1767708022706000000,101570.3
1767708177806000000,101570.25
1767708314006000000,101499.7
1767708445101000000,101499.65
1767708581901000000,101568
1767708714201000000,101567.95
1767708842203000000,101380.7
1767708973803000000,101385.95
1767709110603000000,101656.6
1767709233603000000,101186.75
1767709354203000000,100729.5
1767709476003000000,100462.25
1767709597003000000,101208.2
1767709718803000000,101036.95
1767709841603000000,101127.2
1767709965903000000,101497.95
1767710084203000000,101636.2
1767710201103000000,101424.75
1767710321203000000,101480.3
1767710443903000000,101209.45
1767710561803000000,101164.1
1767710685203000000,101509.85
1767710806703000000,101482.3
1767710921903000000,101482.25
1767711042303000000,101143.5
1767711165403000000,101143.45
1767711286003000000,101146.4
1767711408403000000,101146.35
1767711525903000000,101373.6
1767711648003000000,101373.55
1767711769903000000,101432.8
1767711894903000000,101432.75
1767712014502000000,101564.5
1767712137002000000,101564.45
1767712261202000000,101464.7
1767712380802000000,101464.65
1767712498902000000,101479.5
1767712624802000000,101468.45
1767712751702000000,101518.8
1767712875802000000,101513.55
1767712999102000000,101883.5
1767713120902000000,101501.65
1767713247702000000,101722.1
1767713368712000000,101695.65
1767713492802000000,101550.6
1767713614502000000,100419.55
1767713732902000000,101127.2
1767713855702000000,98099.95
1767713980002000000,97586.2
1767714101112000000,96842.95
1767714219102000000,96093.2
1767714337802000000,95816.55
1767714452102000000,96444
1767714571802000000,96476.35
1767714689302000000,96401.3
1767714806812000000,96045.45
1767714927002000000,96020.2
1767715045102000000,96804.15
1767715156012000000,97215.7
1767715276402000000,98631.65
1767715394402000000,98194.2
1767715513302000000,97952.15
1767715639109000000,96394.2
1767715760509000000,95467.75
1767715877909000000,96091.4
1767715996109000000,96860.95
1767716111409000000,96008.6
1767716227819000000,95515.55
1767716344109000000,95034.6
1767716454309000000,94457.55
1767716572509000000,93529.1
1767716688929000000,93662.25
1767716803309000000,91129.3
1767716915609000000,90273.95
1767717030409000000,89423.5
1767717147209000000,90172.45
1767717263209000000,88508.3
1767717383109000000,88737.25
1767717499609000000,88414.1
1767717624709000000,87548.45
1767717749009000000,87215.4
1767717872209000000,86332.15
1767717997509000000,86372.6
1767718127109000000,85213.05
1767718247109000000,86635
1767718371209000000,86978.95
1767718498309000000,87531.2
1767718623309000000,86947.15
1767718756909000000,88333.1
1767718882509000000,87394.05
1767719013109000000,87941.2
1767719141800000000,87935.55
1767719270810000000,88517.9
1767719399300000000,87931.45
1767719530710000000,87650.6
1767719663900000000,88015.35
1767719795200000000,86871.8
1767719924200000000,85773.75
1767720052800000000,86679.1
1767720190600000000,86629.45
1767720323400000000,87767.6
1767720456010000000,87923.55
1767720585000000000,85860.3
1767720713700000000,85249.45
1767720835700000000,86348.3
1767720961500000000,86040.75
1767721088310000000,86714.1
1767721215100000000,84790.05
1767721341901000000,81364
1767721472501000000,80936.95
1767721593601000000,81770.9
1767721721601000000,77248.85
1767721847001000000,77010.3
1767721974701000000,77842.75
1767722102801000000,75751.7
1767722229601000000,71951.85
1767722358301000000,71347.6
1767722487701000000,70055.15
1767722612901000000,73621.7
1767722740005000000,71931.45
1767722868805000000,75507.2
1767722994805000000,76539.35
1767723124105000000,77432.3
1767723251225000000,76484.25
1767723380705000000,75820.6
1767723507505000000,76700.55
1767723634105000000,76183.7
1767723763205000000,77007.65
1767723891305000000,76046.2
1767724020905000000,77586.95
1767724148105000000,80476.9
1767724281005000000,77812.85
1767724407605000000,78822.6
1767724534605000000,80158.15
1767724663905000000,77382.2
1767724800605000000,76203.15
1767724925105000000,76747.3
1767725055805000000,78030.65
1767725186305000000,79311.2
1767725314505000000,81639.15
1767725445105000000,80513.5
1767725572105000000,81351.45
1767725726305000000,80865.9
1767725854005000000,79847.85
1767725981505000000,79334.8
1767726108005000000,78425.75
1767726235805000000,78892.5
1767726362103000000,80994.85
1767726487203000000,81274.1
1767726610403000000,81172.05
1767726746403000000,80830
1767726889503000000,82825.75
1767727017303000000,81525.2
1767727140743000000,81989.55
1767727265903000000,81880.7
1767727389703000000,82014.95
1767727514803000000,82416.1
1767727645303000000,83517.95
1767727778303000000,83387.1
1767727916003000000,83692.25
1767728044603000000,82807.2
1767728180903000000,82109.95
1767728304103000000,80690.4
1767728436403000000,81522.25
1767728568803000000,81544.3
1767728690603000000,81276.65
1767728810303000000,81866.8
1767728932503000000,81936.35
1767729063903000000,81304.5
1767729200403000000,80807.85
1767729326323000000,80674.7
1767729451303000000,81074.25
1767729596903000000,81259
1767729721603000000,83446.95
1767729849303000000,82975
1767729973619000000,85194.95
1767730106409000000,84832.2
1767730232909000000,83857.05
1767730372109000000,83943.9
1767730505709000000,84402.95
1767730634709000000,84869.1
1767730771809000000,85008.25
1767730897509000000,85464.6
1767731019609000000,85399.75
1767731167209000000,85435.4
1767731289109000000,85439.75
1767731414709000000,85257.9
1767731541909000000,85679.65
1767731662009000000,85548.6
1767731787209000000,85932.85
1767731909209000000,86022.4
1767732034509000000,86073.55
